X Y e1 e2 Z WEIGHT_SEEING
-271.91875697413013 162.0620825921554 -0.207458 0.383292 0.3053873 1.0
-272.11438070747 162.7290599105922 -0.307404 0.079491 0.30609718 1.0
-290.57180966537214 179.07982760563348 0.137875 -0.029413 0.35663012 1.0
-250.46793954865123 158.3268644164701 0.035274 -0.118212 0.29251206 1.0
-261.2327694656263 181.54857838268293 0.066318 0.34639 0.3503183 1.0
-217.53085353153446 156.51285698221193 0.379516 0.297758 0.28185055 1.0
-158.40422452606154 114.74108870927373 -0.000466 -0.216116 0.18764704 1.0
-241.08690738755456 180.19897034492055 0.515251 0.150524 0.34269544 1.0
-238.72800209589332 179.89995444142096 0.079052 0.066519 0.3433431 1.0
-230.60237697797822 178.83651993628592 -0.04716 -0.180021 0.33905458 1.0
-230.44382804454065 179.63536766625214 0.041971 -0.251537 0.34182167 1.0
-229.9555798452156 179.36855318710218 0.339628 -0.065636 0.3417931 1.0
-262.003373058839 152.18291665772335 -0.670055 0.127608 0.27163702 1.0
-270.1466118194048 161.7864306932397 -0.170764 0.21126 0.2939727 1.0
-287.58892989172074 170.9087238862617 -0.144113 0.09563 0.32236388 1.0
-256.3345795024153 160.90447125638255 -0.060033 -0.136099 0.29047987 1.0
-221.65122325521202 146.2127878904663 0.024048 -0.252691 0.2499086 1.0
-251.74162798162425 155.61746246823427 -0.015384 -0.180177 0.2660895 1.0
-267.646953342504 167.9084559042847 -0.157621 -0.274254 0.29810187 1.0
-269.06164551057486 168.82510885769491 -0.026296 -0.00218 0.29978698 1.0
-246.37309411315954 150.658728671093 -0.22744 -0.113051 0.24841316 1.0
-264.7150831982852 166.13321975188154 0.100741 -0.736553 0.32249647 1.0
-265.37627601129293 175.9719421161747 -0.040471 0.108934 0.34418952 1.0
-257.0839326485429 171.1964224508646 -0.878673 -0.146539 0.3297335 1.0
-262.4297149811697 176.49941185845154 0.240464 -0.305329 0.34674352 1.0
