X Y e1 e2 Z WEIGHT_SEEING
-825.7287742369991 -362.9391591648493 -0.167241 0.093931 0.35229167 1.0
-760.4641440888565 -335.24119068323813 -0.251962 -0.276853 0.3123359 1.0
-819.275968181997 -361.7801807904469 0.251462 0.017816 0.3502755 1.0
-825.6451441758247 -366.737993007085 -999.0 -999.0 0.35659513 1.0
-825.2882467688531 -366.5969610469869 0.383241 0.089312 0.35650942 1.0
-823.9235058765281 -366.39209940557913 -0.022814 0.152825 0.3573343 1.0
-707.9981569300546 -315.97350939312463 0.121766 -0.196156 0.28595033 1.0
-820.6780181445332 -365.7549021009846 -0.117046 -0.08788 0.35554987 1.0
-812.3197008057056 -363.45494883582217 -999.0 -999.0 0.35314393 1.0
-567.1161648894866 -257.4042782476368 0.003875 -0.101142 0.21784566 1.0
-761.8376153851448 -330.0219109824358 0.084117 -0.275232 0.31084242 1.0
-827.0121844661913 -357.3900448126072 -0.041839 0.086833 0.35157537 1.0
-707.8964873424222 -308.78026560711623 7.8e-05 0.089661 0.28408912 1.0
-793.426761770375 -346.69956950581803 -0.265299 -0.160734 0.3363763 1.0
-707.6453377529625 -311.1811824370016 -999.0 -999.0 0.28744927 1.0
-525.3662144930331 -234.49988470165096 -999.0 -999.0 0.19658032 1.0
-810.6483615264315 -362.8928053594736 -999.0 -999.0 0.35947067 1.0
-483.6962891822759 -206.34173549348785 -999.0 -999.0 0.17070578 1.0
-716.4773389261096 -308.76176351151923 -0.355448 -0.401235 0.28838894 1.0
-812.7753923729318 -350.64901668507173 -999.0 -999.0 0.34816158 1.0
-821.8991982023963 -356.65913701363104 -999.0 -999.0 0.3580035 1.0
-581.2140304515601 -252.4750293530618 0.026895 0.02796 0.21995659 1.0
-746.0779138019158 -324.6491104173537 0.7329 0.162744 0.3097145 1.0
-821.2629609785373 -357.3842717643745 0.218858 -0.029473 0.35823476 1.0
-819.907319913218 -357.0373893038091 0.147787 0.125465 0.3579715 1.0
-818.0475133318512 -356.19482623374955 -0.865586 -0.158448 0.35733524 1.0
-821.3323629047758 -357.1653115469829 -999.0 -999.0 0.35942456 1.0
-818.7377234324576 -356.88168742505724 0.036344 0.262988 0.35845056 1.0
-816.9022727482258 -356.6230871888951 -0.091916 0.013294 0.35867453 1.0
-519.9340018417163 -229.84614989537465 -0.346054 -0.325419 0.1943826 1.0
-657.0332512271932 -276.61414233970174 0.535959 -0.065521 0.2538328 1.0
-576.3204523059518 -243.35697719171154 0.053571 -0.077448 0.2132272 1.0
-704.1888941958963 -298.60603878027587 0.158926 0.130046 0.2816612 1.0
-795.279674694766 -340.73677124693745 0.316336 -0.275969 0.34149912 1.0
-811.5786384381472 -352.1735938928295 0.174184 0.435079 0.3580622 1.0
-813.046216313031 -352.6337690142965 0.357497 0.027462 0.35953504 1.0
-647.0702532538812 -281.24991324207775 0.086112 0.119859 0.2584017 1.0
-500.5718753123399 -221.40068618136868 -0.180172 -0.192603 0.18909723 1.0
-501.10184405891846 -223.56078597026863 0.307886 0.381743 0.19166729 1.0
-497.4078319576773 -221.65748452693603 0.315306 -0.241913 0.19052032 1.0
-612.4552718037731 -253.72335002420016 -0.075041 -0.029195 0.23052363 1.0
-830.0833482986311 -368.28991484245626 0.431143 -0.098017 0.3573459 1.0
-832.6302567427192 -369.688183824642 0.029159 -0.058634 0.35934743 1.0
-549.6846351811279 -244.88547178939692 0.115198 0.032242 0.20238005 1.0
-828.1496122097499 -367.66192417671914 -0.14193 0.101968 0.35676244 1.0
-744.5409521547107 -335.86242598493277 0.741574 0.342335 0.30957937 1.0
-702.6765758091683 -317.8422164145362 -0.127753 0.058548 0.2850581 1.0
-699.1133872268058 -317.2223634232538 0.468457 -0.778544 0.28418645 1.0
-814.1033343076829 -368.27222870851824 -999.0 -999.0 0.35541221 1.0
-515.5828843787343 -233.77555032483352 0.127944 0.125501 0.19097914 1.0
-516.2045505608982 -236.02847209297389 0.444017 -0.59003 0.19344608 1.0
-472.1056499587091 -216.50996195268013 0.139012 -0.016082 0.17344548 1.0
-744.3652557438767 -342.53504130093694 0.363687 0.401825 0.32048184 1.0
-736.7939665331465 -342.808836367753 -0.085382 0.160423 0.31957307 1.0
-739.8961295241439 -345.1749862623928 -0.178413 -0.118519 0.32183895 1.0
-748.0159313955355 -348.99961338296436 0.41748 -0.522727 0.32903966 1.0
-739.18178600427 -345.5756230979118 0.168015 0.308179 0.323495 1.0
-744.387409389542 -347.52411802410904 0.118029 -0.505094 0.3268655 1.0
-742.2689007940154 -348.1901424051786 0.080729 0.114051 0.32652026 1.0
-717.6712552175035 -336.8904353636084 -0.330731 -0.187522 0.31225523 1.0
-617.0192844209653 -294.1674061024779 0.080587 -0.233474 0.25657356 1.0
-766.3433164989005 -366.04102835686007 0.096526 0.214815 0.3506888 1.0
-697.5361860856965 -334.5681951745256 0.112861 -0.399243 0.30950966 1.0
-695.7131051636419 -336.0463018320174 0.581381 0.363394 0.30977654 1.0
-730.1891401331876 -355.0281468540659 0.228102 0.066519 0.3350869 1.0
-728.4399919584354 -359.7496370510331 -0.014056 0.46005 0.34322646 1.0
-431.59562092793243 -215.0184112634895 -999.0 -999.0 0.17115587 1.0
-606.9390596816769 -301.55077507376774 -0.085385 -0.380852 0.26648048 1.0
-417.15760303802307 -208.41967419894345 -999.0 -999.0 0.16462968 1.0
-710.843065382389 -354.97603328488884 0.131793 -0.280979 0.33479235 1.0
-567.1392683088262 -282.53888925043395 -0.220996 0.458742 0.2434377 1.0
-604.0316021055708 -300.982835288981 -0.563936 -0.260619 0.26557386 1.0
-551.4909116169334 -275.844108530282 -999.0 -999.0 0.23578666 1.0
-566.4142669727182 -284.00845949205785 -999.0 -999.0 0.2449142 1.0
-534.2410468266193 -267.95892944337004 -999.0 -999.0 0.22680424 1.0
-711.1735259622955 -365.5768779256175 -999.0 -999.0 0.35210243 1.0
-589.9330946934748 -304.34186487480446 -999.0 -999.0 0.2695973 1.0
-714.5243380793673 -369.1743790424212 -999.0 -999.0 0.3580706 1.0
-427.3002030720275 -221.87188328169276 -999.0 -999.0 0.17837678 1.0
-427.67602527068846 -223.43246537308332 -0.424535 -0.035791 0.1799681 1.0
-579.706349546522 -303.5090491076657 -0.20001 0.002896 0.26926744 1.0
-724.8325718705713 -318.65280771522436 0.038963 -0.005807 0.29216182 1.0
-816.6302603500393 -359.36584325326953 -999.0 -999.0 0.3491561 1.0
-522.5497488213789 -229.75613468999933 -999.0 -999.0 0.18972437 1.0
-691.8968327911878 -307.66256976358113 0.064997 -0.367661 0.2786626 1.0
-754.7363209931151 -337.41263588712786 0.170891 0.355863 0.32002166 1.0
-517.3020974891474 -232.98375209773707 -0.133001 -0.024535 0.19362736 1.0
-770.01175810854 -347.74204724798216 0.217639 0.072598 0.33352357 1.0
-563.8780291565988 -255.01426245099768 -999.0 -999.0 0.21720608 1.0
-743.4221834337466 -337.28397907578494 0.228958 0.081937 0.31743225 1.0
-740.561656786435 -337.7785628248393 -0.346928 -0.06432 0.3190267 1.0
-772.5345557231847 -353.70546446374215 0.136569 0.252882 0.34058946 1.0
-725.352365106454 -334.85624302216024 -0.197316 -0.12764 0.3149565 1.0
-731.308948006241 -337.05245807340987 0.202161 0.062569 0.31883457 1.0
-721.4722607948477 -336.4322627218364 0.184164 -0.276563 0.31610027 1.0
-780.4245511909429 -363.7947033911334 0.062104 0.299557 0.35581148 1.0
-758.2942631296476 -353.49728123111635 0.410452 -0.158489 0.34245098 1.0
-768.2012768050399 -360.3377825147023 -999.0 -999.0 0.35087237 1.0
-769.3717450443968 -360.7370305106767 -999.0 -999.0 0.3533283 1.0
-519.071156610536 -244.6145877980742 0.05724 0.136175 0.20614289 1.0
-771.7567965386344 -363.8230120215466 0.005493 0.091447 0.35847545 1.0
-769.9783625912495 -365.1553446837482 -0.157883 0.063347 0.35820457 1.0
-766.7605589990484 -363.5304265046615 -0.374172 -0.016992 0.35753477 1.0
-767.4089543215453 -363.62965341490565 0.403203 0.08769 0.35813275 1.0
-564.3164809227728 -268.69669280985363 -0.467516 -0.606361 0.23275228 1.0
-627.3257085305556 -298.272225169897 -0.276881 0.334735 0.26809773 1.0
-540.8789419027271 -258.35171318610185 0.084972 -0.093132 0.22027463 1.0
-580.8440329097588 -277.7732875724703 0.099745 -0.286478 0.2425354 1.0
-624.570767037393 -299.77744394859315 0.008116 0.134554 0.26859266 1.0
-762.5397319995905 -364.6736227987912 -0.105776 -0.585574 0.359811 1.0
-577.326968846472 -277.2645843047118 0.330978 0.263323 0.2418107 1.0
-675.984090980303 -324.408650605044 0.288958 -0.179173 0.30167913 1.0
-576.6268825588803 -277.7302004932197 0.028789 -0.140281 0.24233536 1.0
-760.3125613142531 -365.2566708300596 0.124128 -0.207144 0.3594817 1.0
-464.1110599255323 -224.73568884430182 0.107222 -0.077974 0.18421027 1.0
-632.6017980309038 -308.53868291594216 -0.07603 0.27824 0.28150707 1.0
-566.0365944941757 -279.6704755158237 -999.0 -999.0 0.2448089 1.0
-509.37418481357736 -252.6390933804907 -0.079852 -0.515572 0.21500374 1.0
-546.7043792264703 -271.63811305778665 -999.0 -999.0 0.23607373 1.0
-611.5261613016777 -309.174060669661 0.278335 -0.490521 0.28001317 1.0
-550.5256929293078 -279.1271857092318 0.028946 -0.133609 0.24543704 1.0
-404.74455545047516 -206.3953053639813 -999.0 -999.0 0.16636921 1.0
-606.8123574587944 -308.9296505744519 0.037827 0.063465 0.28198558 1.0
-541.6235583841863 -276.4447484786577 0.140271 -0.00949 0.2418355 1.0
-523.286132634885 -267.21246262132337 -0.557041 0.287608 0.23158163 1.0
-584.5878369364276 -301.20549878357747 -999.0 -999.0 0.27031282 1.0
-536.3458338696604 -277.81035961282544 -999.0 -999.0 0.24332061 1.0
-444.1800474919962 -230.16913525099878 0.065333 0.224051 0.1910401 1.0
-609.5569954755844 -317.6060270816779 -999.0 -999.0 0.29167217 1.0
-753.3717466042494 -325.71361684342725 0.887321 -0.029094 0.30868304 1.0
-667.6255373277078 -289.56655921351836 0.682026 0.178117 0.26226768 1.0
-794.4307709622909 -344.29066245357393 0.470865 -0.155015 0.33651388 1.0
-822.3227199716459 -359.7329820351914 -999.0 -999.0 0.3573064 1.0
-787.4967963166475 -342.97077532409645 0.024753 -0.243212 0.3340154 1.0
-820.6225237387754 -358.10604998003623 -0.003552 0.064072 0.35758072 1.0
-538.3364486066913 -237.73772745302097 -0.112777 -0.470725 0.20103599 1.0
-741.5293291062305 -328.6964620803868 -0.28138 0.331093 0.31214285 1.0
-633.49750281256 -280.8338050833284 -0.184577 -0.017457 0.25106978 1.0
-635.2885803418625 -281.4937173557143 0.094245 0.030655 0.25291196 1.0
-525.2885466312401 -233.05048020602362 0.22027 -0.260213 0.19698209 1.0
-520.894625073621 -231.16546661271894 -999.0 -999.0 0.1949325 1.0
-514.2696864114686 -229.4736287450484 0.71918 -0.34178 0.19349568 1.0
-750.7792143282448 -336.1679537714662 0.250064 0.303111 0.3239621 1.0
-742.3707467219161 -332.6188091834168 -0.006364 0.172898 0.31861594 1.0
-794.6449891330036 -357.1443924362918 -0.421436 0.150984 0.3544648 1.0
-789.80700281547 -356.6026598340025 -0.018748 0.066857 0.35292205 1.0
-788.1988019092739 -355.74466003326654 -0.18259 -0.534495 0.35337737 1.0
-787.4197966999382 -356.1781112778725 0.02133 -0.170769 0.3529429 1.0
-768.8552487324631 -349.81984668779774 0.557446 -0.248278 0.34224093 1.0
-564.8907343974747 -256.6030751216221 -0.501051 0.117051 0.22316779 1.0
-780.2671067492741 -358.395617374986 0.032572 0.052935 0.35526678 1.0
-775.7561431232174 -357.0294742791133 0.271453 -0.73615 0.3535679 1.0
-581.7739272714574 -269.192759537608 -0.046094 -0.110888 0.23653416 1.0
-578.5531138163603 -267.73943204131587 -0.085809 -0.057237 0.23588757 1.0
-643.2364108289331 -298.28449778878394 0.285833 -0.198689 0.27246985 1.0
-520.5096811229358 -242.86739754482764 -0.102938 -0.167536 0.20767377 1.0
-634.1169145992507 -296.93347640079963 -0.008774 0.047123 0.27067214 1.0
-758.9130645210424 -355.27768865493607 0.091943 -0.33089 0.35206956 1.0
-743.0552236289321 -348.442226532549 -0.454239 -0.504524 0.3426875 1.0
-663.2450278204429 -312.0531681762737 -0.502328 -0.22089 0.2914458 1.0
-673.0755727796798 -318.1339445625595 -0.025541 0.022606 0.29742977 1.0
-577.1548476403068 -272.085375257488 0.00723 -0.808868 0.24129435 1.0
-753.4105924427206 -356.222088125711 0.35157 0.221019 0.3551397 1.0
-517.6421702024504 -246.8516828111868 -0.011759 -0.67527 0.21115452 1.0
-561.9376773382713 -268.9295346748415 -0.543168 -0.552256 0.23751241 1.0
-689.2938409810421 -335.3542539922945 -0.272624 0.003488 0.32214487 1.0
-728.2176540851743 -354.1492726879885 0.061372 -0.139578 0.35216978 1.0
-639.81550287264 -311.577559590822 0.078407 -0.091204 0.29124293 1.0
-728.975118099286 -356.3321757852319 0.233867 -0.041107 0.35283723 1.0
-604.0264883051359 -297.617098136851 0.152938 0.199454 0.2720535 1.0
-503.73449047676496 -249.4142011089013 0.017376 0.220323 0.21475832 1.0
-716.6217874439433 -355.40021145770476 0.088934 0.468997 0.35372362 1.0
-451.3336505844893 -227.7691157076792 -0.227311 -0.145638 0.19160801 1.0
-683.9097578294843 -347.3054973045528 -999.0 -999.0 0.3415931 1.0
-588.5580576387116 -300.4948012945322 0.709147 -0.505137 0.27428225 1.0
-574.0355858919756 -294.75457680620406 -0.03309 -0.054218 0.26743746 1.0
-572.9580669277965 -293.98931942471637 0.471494 0.069671 0.26680493 1.0
-386.4396282487447 -199.56142024086918 -999.0 -999.0 0.16184257 1.0
-838.8872555335157 -355.59763410929196 -0.175148 -0.135505 0.35984728 1.0
