X Y e1 e2 Z WEIGHT_SEEING
-922.5705713664798 260.8667845583633 -0.20896 0.137385 0.29822353 1.0
-1007.1793732599689 268.02106861993707 -0.074416 -0.091974 0.34291703 1.0
-943.2204750558343 251.9924987741772 0.095388 0.111657 0.31219083 1.0
-847.0436940479309 234.79801523777016 0.246822 0.255939 0.26272607 1.0
-901.9474061063347 253.9278370457611 0.165066 0.186046 0.28976628 1.0
-952.9489974466713 278.9643211880524 -0.280752 -0.157758 0.31494033 1.0
-998.8154882394689 267.0622944579136 -0.267102 0.056065 0.34153348 1.0
-1002.2362510204495 268.78712098300855 -0.629345 -0.561806 0.34116638 1.0
-1004.6157042898714 270.4277808256102 -0.111518 -0.112295 0.34383017 1.0
-940.9448891878582 254.5689485285208 -0.023503 0.154355 0.31183577 1.0
-770.1811484673581 209.29918028703005 0.156354 -0.180502 0.23677854 1.0
-682.3444505827399 185.10418662765375 -0.234467 -0.057408 0.19901638 1.0
-860.4946449421009 233.2691465977196 0.112019 0.335654 0.2709327 1.0
-845.8180937536531 233.58296955360848 0.215368 -0.388799 0.2636289 1.0
-793.6032838762569 219.115692490065 -0.085542 -0.04634 0.24277855 1.0
-1032.3510294553137 289.9895174234091 -0.083035 -0.043496 0.3534727 1.0
-848.2415952976479 245.79116892432813 -0.258481 0.015318 0.26915103 1.0
-723.8220683478147 210.19808645607492 -0.059459 -0.0385 0.21767175 1.0
-646.4386912149364 178.2727050512629 -0.095077 0.144698 0.18341532 1.0
-930.0723073809887 249.32551322514942 -0.067737 0.301183 0.32609826 1.0
-594.7484444464454 179.53526715738377 -0.134885 -0.210188 0.2569933 1.0
-726.2478636782837 216.90535260321832 0.122726 -0.204737 0.34150922 1.0
-750.6067160206065 224.19079924531366 -0.589769 -0.007464 0.35994375 1.0
-707.8752408069125 197.1680512471563 -999.0 -999.0 0.2965594 1.0
-590.985917805697 178.36592168702376 -0.148723 -0.146834 0.25474864 1.0
-723.7379540092502 216.8301010097915 -0.07902 -0.027773 0.34278822 1.0
-802.4542348741942 226.06682968374633 -0.738865 0.191764 0.25121373 1.0
