X Y e1 e2 Z WEIGHT_SEEING
-314.8396359989629 73.14091273396471 -0.069125 -0.360587 0.34176016 1.0
-284.21966564118424 63.998272747660366 -0.215148 -0.061089 0.2675191 1.0
-318.034861718266 75.58393111877963 0.00515 -0.190914 0.33316112 1.0
-360.86749511688015 82.58505779357624 0.048394 -0.249432 0.32174578 1.0
-281.5149364793488 64.98342457173598 -0.047331 -0.03331 0.26658806 1.0
-323.97009499409796 77.34501845264163 0.010167 -0.042579 0.33471233 1.0
-324.60236162378914 68.98879701859231 0.079855 -0.234065 0.28462443 1.0
-323.9211673032246 69.78334395365515 -0.064291 -0.146834 0.2895271 1.0
-312.46650061516675 77.69330922055856 0.241964 0.077825 0.3064134 1.0
-247.5026987871719 62.98922805626245 -0.195352 -0.222027 0.23001643 1.0
-318.2582779782671 73.31129405312514 -0.158323 -0.08783 0.28002185 1.0
-336.03783172794255 74.18567447639542 0.263176 0.291891 0.2767462 1.0
-221.44118225654867 49.45969571624645 -0.249271 -0.123645 0.20754856 1.0
-314.118760560282 70.75470154929444 -0.217972 0.283271 0.3333476 1.0
-311.7468232325995 75.97907873902003 -0.415816 -0.738843 0.3323478 1.0
-306.18328654530734 63.94857002387009 -0.0445 -0.044012 0.26425508 1.0
-331.9818810242158 75.66995108515623 -0.007576 0.086129 0.32092124 1.0
-310.4632187821896 71.35724283242642 -0.351599 -0.004879 0.2946104 1.0
-254.34977957185365 60.84725666908152 -0.252086 0.063807 0.23192729 1.0
-306.33793467855054 72.06324214611217 -0.116182 0.081007 0.27849418 1.0
-244.72236042461293 60.142131896501844 0.038206 0.261285 0.21514094 1.0
-349.9907798006988 67.3963099169295 0.126072 -0.161427 0.271238 1.0
-324.276296568274 63.1832591530238 0.002409 0.043506 0.2500165 1.0
-391.20354462083367 78.47767549485411 0.437821 0.135044 0.33011606 1.0
-387.80961787671345 79.46480160512118 -0.313336 0.139283 0.32810315 1.0
-289.1819514751396 61.171465211393595 0.04845 0.073743 0.22450866 1.0
-376.93172219875584 80.62748817438964 -0.385874 -0.487859 0.32861832 1.0
-220.7122987173947 49.61577264503451 -0.473325 0.662354 0.16660301 1.0
-232.3762060840339 51.82601287516594 -0.223283 -0.207086 0.17891005 1.0
-321.44026699561164 75.49344022946669 0.14143 -0.133071 0.2833502 1.0
-322.7312276590647 76.1207010985927 -0.085058 -0.040206 0.285188 1.0
-268.691790405945 58.123198663293515 0.054119 0.370829 0.19962522 1.0
-390.2419412559141 87.09347179371922 -0.197601 0.204751 0.34230697 1.0
-335.93513662747625 77.16969522191381 0.008495 0.128178 0.33811355 1.0
-326.03730355259415 78.59313953332844 0.300396 -0.070368 0.3354115 1.0
-250.62638875374438 64.0312774387158 -0.334963 0.105274 0.2431683 1.0
-352.3122238713151 71.72076833487003 0.181688 -0.203245 0.3141364 1.0
-328.53092361143194 77.37638642999622 0.27104 -0.327068 0.31928048 1.0
-325.56637140921316 78.9675286037688 -0.130308 0.2983 0.31658122 1.0
-320.25450994301667 77.28734861252696 -0.348449 0.068766 0.31010097 1.0
-327.59179964733954 78.6248748981383 -0.096668 0.03737 0.31942347 1.0
-312.7261573070139 77.6076860240111 -0.153928 0.03162 0.30578443 1.0
-275.6942653219295 70.95178396185347 0.105704 0.156688 0.26647222 1.0
-273.68113793017227 71.02883317817133 0.602045 0.311331 0.2664485 1.0
-405.36363611719605 76.70711156126222 -0.004885 -0.002783 0.3397679 1.0
-345.52647376927246 65.48838718955676 0.35344 0.011863 0.27039066 1.0
-342.0759324816921 69.03209159734214 -0.231431 -0.153643 0.28131938 1.0
-251.16085765973887 54.11836999574551 0.14104 -0.193737 0.19428308 1.0
-344.5403180287205 68.84504612715583 -0.116347 -0.224421 0.26940778 1.0
-267.4256697453561 56.43808599977068 0.063657 -0.272413 0.26216617 1.0
-267.9561137003361 61.270086172181315 0.244137 0.291041 0.27812353 1.0
-261.7660173388305 55.39914696289289 0.101668 0.175447 0.27056816 1.0
-339.85267546785707 75.89485849249523 0.292296 0.037997 0.3431778 1.0
-268.6004332999922 56.52710532954112 -0.281093 0.259483 0.27611348 1.0
-343.80466882641804 58.25810793347211 -0.310686 0.376776 0.30529627 1.0
-344.57929867702364 58.70922331974881 -0.107131 -0.275575 0.30668145 1.0
-306.0697704439854 54.38689746293547 -0.094676 0.386571 0.26441053 1.0
-344.94052134710563 61.33712017508523 -0.221925 0.142402 0.31803125 1.0
-396.9142305625583 57.385589973518364 0.089142 0.424217 0.32259807 1.0
-225.10529834723607 41.05536494725015 0.261569 0.070313 0.1652727 1.0
-342.857006382056 63.16018871271606 -0.079921 -0.411453 0.31702104 1.0
-355.6614663726252 59.8669777802254 0.546257 0.19083 0.2769689 1.0
-343.447678755251 59.753938882718096 -0.360607 -0.315974 0.27220494 1.0
-336.13313602301946 52.6359794716551 -0.107665 -0.182665 0.27600276 1.0
-319.95485091905056 20.783253735889808 -0.090265 -0.231068 0.24212416 1.0
-408.17500116611365 28.870184105950162 -0.196605 0.367981 0.35399824 1.0
-403.72520524511765 30.468164980013746 0.066373 0.077659 0.35270977 1.0
-402.23943794515804 29.632794173625445 -0.131538 0.017632 0.35686117 1.0
-386.1314407804967 32.58435512155023 0.146792 -0.089574 0.34505624 1.0
-330.3599265547641 29.03754690457122 -0.085613 -0.022554 0.27854052 1.0
-278.1750724222049 27.03130050198416 -0.055838 -0.126128 0.23659985 1.0
-278.9528273652867 32.27920453025776 -0.128213 0.287519 0.25465366 1.0
-301.744310427612 35.70270971888789 0.144501 0.145048 0.29286826 1.0
-326.4857063201698 43.36578029982758 0.092827 -0.023376 0.34441724 1.0
-220.69652423655987 33.65718326587407 -0.030285 0.599006 0.21691985 1.0
-234.166000876969 39.593512715695596 0.334927 0.803725 0.25939077 1.0
-393.7629906074773 35.298045584621526 -0.000953 0.107018 0.33782533 1.0
-382.15883106904715 38.51443853631548 0.375539 -0.452669 0.33972675 1.0
-345.5697666914738 40.38934125705928 -0.130682 0.376411 0.3240598 1.0
-345.87779503511285 40.78580717184602 -0.497564 0.34108 0.33095008 1.0
-243.1875177542597 38.607973199519805 0.156574 0.275084 0.24087046 1.0
-399.83340309992684 39.852202547961035 0.24933 0.020517 0.33769143 1.0
-386.44540502711925 38.28685392247973 0.228956 -0.334505 0.32334545 1.0
-398.02864480614807 39.96428142950217 -0.210642 -0.022445 0.3411486 1.0
-397.1156326598325 40.14043672336642 -0.019817 0.06226 0.3402939 1.0
-377.0796690911338 40.37901780454585 -0.038128 0.115261 0.32311895 1.0
-397.163701825883 39.026649869284434 0.67818 0.46201 0.31528702 1.0
-388.36594187954984 45.51404584732018 -0.062013 -0.2547 0.33563873 1.0
-388.28918128394895 47.972039343169975 -0.462869 0.440547 0.34163505 1.0
-347.88405738296916 54.07910285491455 0.312499 -0.171792 0.33544672 1.0
-412.6677284169237 48.56418960747935 -0.050042 -0.451201 0.34272596 1.0
-340.15203092099335 46.0407534040061 -0.112457 0.215042 0.2757707 1.0
-386.8164372021105 54.768223261684135 -0.318443 -0.205526 0.34828997 1.0
-385.93465834422307 55.92894085418366 -0.021746 0.135441 0.3505549 1.0
-340.224174169318 57.13583661250565 -0.048035 -0.337167 0.32375076 1.0
-281.8258468565167 49.398713515075066 0.540025 -0.283119 0.25639275 1.0
-335.5707329816696 30.422276802327396 -0.055406 -0.387383 0.23831175 1.0
-432.3529283652462 45.12577852706591 0.183136 -0.127257 0.3465838 1.0
-303.2472138048631 23.3569830791925 0.006384 -0.105495 0.24438253 1.0
-241.13064975756464 38.451855312865895 -0.293267 0.164853 0.26919186 1.0
-379.07545248891495 29.889921289027246 0.110224 -0.192668 0.32033098 1.0
-300.0257656342941 36.55198824645032 0.393483 0.301192 0.27509746 1.0
-295.1591580025821 41.024830653537606 0.339243 0.056162 0.29258066 1.0
-304.9260718114619 48.093289266651254 0.37011 0.175787 0.34237617 1.0
-312.82580259951595 30.317407625418607 0.208973 0.225995 0.2435717 1.0
-377.1490000528717 40.30942857461029 -0.405064 -0.189405 0.3343046 1.0
-302.49480008348354 43.02978793966733 0.381846 -0.187314 0.28616828 1.0
-310.3707304158801 44.38860911336533 -0.476169 -0.09404 0.30639783 1.0
-241.2231714748704 45.65352686457624 -0.045972 0.762194 0.2549162 1.0
-399.86276598504054 40.579012097911125 -0.470723 -0.479372 0.33790547 1.0
-369.0665411283336 41.596956369731906 -0.409172 0.441372 0.31750455 1.0
-356.8042322378572 47.12401962099419 0.291534 0.039764 0.3303712 1.0
-278.7880856434675 47.91314309546183 -0.312844 0.006333 0.2709238 1.0
-328.61473035822274 45.44101441712668 0.509135 -0.109352 0.27479333 1.0
-340.4976740029292 50.778250925675216 -0.303873 -0.145925 0.3030933 1.0
-331.7397187952268 54.232727227266786 -0.046586 0.293248 0.31292278 1.0
-343.2153455505496 60.66857536485937 -0.072598 0.182269 0.3524317 1.0
-280.2637797402919 51.73390964379883 0.249682 0.062576 0.27239048 1.0
-383.9721574055293 61.46504995647658 0.126697 0.278139 0.35955697 1.0
-304.1989110847976 12.567393434691901 -0.58592 -0.027043 0.3390383 1.0
-291.78515975367486 19.905966741311214 -0.665594 -0.004151 0.27577406 1.0
-280.8275364053999 30.218643774789022 -0.465229 0.044178 0.30043977 1.0
-275.17878865191807 28.422709132547286 -0.241099 0.473843 0.26053953 1.0
-321.16646471494687 38.18300258832229 0.151826 -0.222991 0.35432714 1.0
-226.11406201604726 32.46757486114854 -0.297628 0.037468 0.24611786 1.0
-348.24955794844635 2.2777513622397296 -0.106804 0.161579 0.3071924 1.0
-283.5073752384974 7.752159287024494 -0.088776 0.28762 0.26838183 1.0
-291.62475873163373 15.070822230207577 0.003842 -0.311045 0.33725163 1.0
-264.11291974133536 17.216520131604057 -0.098531 -0.187909 0.32356444 1.0
-283.1101491570006 14.585537049648398 -0.523946 -0.07728 0.27525413 1.0
